Entity,year,diabetes,obesity,calories
Brazil,2026,5.1996603,8.610035,2412.702
Brazil,2027,5.908299,7.994603,2325.2327
Brazil,2028,7.3427305,9.894626,2363.2356
Brazil,2029,7.7020683,10.195753,2501.9146
Brazil,2030,6.729422,7.8982954,2582.4004
Brazil,2031,7.7506337,16.35488,3062.9558
Brunei,2022,8.047699,20.37153,2989.3667
Brunei,2023,7.9102745,21.60423,3114.4456
Brunei,2024,7.648792,20.621758,3109.0215
Brunei,2025,8.292919,19.828146,3072.1787
Brunei,2026,8.126971,19.762928,3057.692
Brunei,2027,7.73475,18.23269,2903.9934
Brunei,2028,7.2263184,16.360409,2614.6978
Brunei,2029,5.9708247,13.765641,2491.7546
Brunei,2030,6.6286993,18.674376,2493.4927
Brunei,2031,8.199837,19.458372,2515.9475
Bulgaria,2022,9.648902,13.944311,3077.6487
Bulgaria,2023,9.835189,12.895465,2881.4524
Bulgaria,2024,11.450442,16.612455,2933.6633
Bulgaria,2025,6.8059945,14.378261,2847.7058
Bulgaria,2026,6.871299,11.81528,2440.102
Bulgaria,2027,11.949296,17.05355,2560.6658
Bulgaria,2028,15.278896,21.576942,2815.6992
Bulgaria,2029,18.26602,25.584696,3132.233
Bulgaria,2030,12.7611265,18.908218,2868.0461
Bulgaria,2031,8.953142,16.96512,2669.25
Burkina Faso,2022,7.423849,15.327443,2716.4805
Burkina Faso,2023,7.314378,14.177476,2704.3533
Burkina Faso,2024,7.061415,10.821395,2564.3105
Burkina Faso,2025,6.7014318,5.5198193,2381.7764
Burkina Faso,2026,6.3551083,4.096219,2314.4053
Burkina Faso,2027,5.7011585,7.259713,2260.6821
Burkina Faso,2028,5.8019404,10.325542,2249.0005
Burkina Faso,2029,6.6531806,10.109846,2364.4827
Burkina Faso,2030,6.012586,7.577395,2567.4023
Burkina Faso,2031,6.1134048,12.004858,2959.0388
Burundi,2022,7.5437083,3.0786614,2222.8914
Burundi,2023,7.4097204,4.7737055,2106.5728
Burundi,2024,7.3991375,6.490866,2051.3845
Burundi,2025,6.8654923,7.9230685,2163.1133
Burundi,2026,6.369578,8.28015,2000.4141
Burundi,2027,5.2636404,11.1231365,2159.963
Burundi,2028,6.416109,15.648399,2530.2974
Burundi,2029,7.3121686,16.031118,2459.234
Burundi,2030,6.5781083,18.178324,2756.29
Burundi,2031,6.6631308,15.50005,2928.6052
Cambodia,2022,7.427404,15.356269,2432.8418
Cambodia,2023,7.057209,15.868688,2527.2085
Cambodia,2024,6.5707603,15.853366,2567.4604
Cambodia,2025,6.164294,16.821995,2720.7395
Cambodia,2026,6.0644236,17.540272,2779.365
Cambodia,2027,5.707215,16.291365,2471.3813
Cambodia,2028,4.1339455,6.906146,2110.9175
Cambodia,2029,6.278157,8.168659,2812.0342
Cambodia,2030,8.804241,10.81857,2244.6592
Cambodia,2031,9.517069,11.486217,2552.1426
Cameroon,2022,6.6150603,11.35954,2379.34
Cameroon,2023,6.5551605,10.247276,2312.1494
Cameroon,2024,6.738765,9.912819,2316.1572
Cameroon,2025,7.01374,9.289067,2365.0364
Cameroon,2026,6.837303,7.286474,2356.1982
Cameroon,2027,6.232438,5.62657,2294.3103
Cameroon,2028,5.905546,6.925605,2288.8906
Cameroon,2029,6.244035,7.7176576,2370.1057
Cameroon,2030,6.1677585,6.7861032,2490.787
Cameroon,2031,6.6516976,6.230747,2569.8962
Canada,2022,9.0013895,16.712793,2647.0627
Canada,2023,8.2274065,15.80446,2528.4355
Canada,2024,10.092289,16.999144,2434.2017
Canada,2025,9.345961,13.769767,2287.7542
Canada,2026,9.011035,10.139974,2300.5015
Canada,2027,9.540401,8.134704,2358.3547
Canada,2028,10.340365,5.4477997,2336.5625
Canada,2029,11.970977,5.45991,2256.6663
Canada,2030,12.853223,9.868535,2834.492
Canada,2031,9.036263,18.238792,2784.6846
Cape Verde,2022,5.0298185,13.219717,2333.348
Cape Verde,2023,5.972336,7.191695,2229.4885
Cape Verde,2024,5.2950287,6.8591723,2455.26
Cape Verde,2025,8.086415,10.3923855,2487.9187
Cape Verde,2026,6.09916,15.264749,2856.4468
Cape Verde,2027,5.8471127,15.664134,3050.739
Cape Verde,2028,6.482774,16.947783,3229.182
Cape Verde,2029,5.76586,16.177118,3163.188
Cape Verde,2030,4.2419534,11.305608,2817.6746
Cape Verde,2031,3.9128103,11.05397,2764.3953
Central African Republic,2022,6.5916758,11.475718,2226.3938
Central African Republic,2023,6.029024,11.345716,2340.8538
Central African Republic,2024,5.7500534,10.228648,2313.3804
Central African Republic,2025,6.0420322,9.4036665,2355.257
Central African Republic,2026,7.232708,7.8062944,2305.007
Central African Republic,2027,6.601854,5.015452,2384.048
